On Your Own Recognizance,"{""summary"":""On Your Own Recognizance"",""dtstart"":""20240130"",""dtend"":null,""duration"":null,""dtstamp"":null,""dtstart_tz"":""20240130T000000"",""dtend_tz"":""20240130T000000"",""uid"":""df9e08579e2643f1b6536ee21439af65"",""created"":null,""last_modified"":null,""description"":null,""location"":null,""sequence"":null,""status"":null,""transp"":""TRANSPARENT"",""organizer"":null,""attendee"":null}",null
On Your Own Recognizance,"{""summary"":""On Your Own Recognizance"",""dtstart"":""20241106"",""dtend"":null,""duration"":null,""dtstamp"":null,""dtstart_tz"":""20241106T000000"",""dtend_tz"":""20241106T000000"",""uid"":""1402649c6180482490a696f050493bd5"",""created"":null,""last_modified"":null,""description"":null,""location"":null,""sequence"":null,""status"":null,""transp"":""TRANSPARENT"",""organizer"":null,""attendee"":null,""additionalProperties"":{""summary_array"":[[],""On Your Own Recognizance""],""dtstart_array"":[{""VALUE"":""DATE""},""20241106"",1730876400,""20241106""],""uid_array"":[[],""1402649c6180482490a696f050493bd5""],""transp_array"":[[],""TRANSPARENT""]}}",null
Shrimp and Grits,"{""summary"":""Shrimp and Grits"",""dtstart"":""20250304"",""dtend"":null,""duration"":null,""dtstamp"":null,""dtstart_tz"":""20250304T000000"",""dtend_tz"":""20250304T000000"",""uid"":""05928a6737854289b6b211e06c86c2ae"",""created"":null,""last_modified"":null,""description"":null,""location"":""https:\/\/cooking.nytimes.com\/recipes\/10718-shrimp-and-grits?smid=ck-recipe-iOS-share"",""sequence"":null,""status"":null,""transp"":""TRANSPARENT"",""organizer"":null,""attendee"":null,""additionalProperties"":{""summary_array"":[[],""Shrimp and Grits""],""dtstart_array"":[{""VALUE"":""DATE""},""20250304"",1741071600,""20250304""],""uid_array"":[[],""05928a6737854289b6b211e06c86c2ae""],""location_array"":[[],""https:\/\/cooking.nytimes.com\/recipes\/10718-shrimp-and-grits?smid=ck-recipe-iOS-share""],""transp_array"":[[],""TRANSPARENT""],""url_array"":[[],""https:\/\/cooking.nytimes.com\/recipes\/10718-shrimp-and-grits?smid=ck-recipe-iOS-share""],""url"":""https:\/\/cooking.nytimes.com\/recipes\/10718-shrimp-and-grits?smid=ck-recipe-iOS-share""}}","""https:\/\/cooking.nytimes.com\/recipes\/10718-shrimp-and-grits?smid=ck-recipe-iOS-share"""
Bacon Wrapped Pineapple Bites,"{""summary"":""Bacon Wrapped Pineapple Bites"",""dtstart"":""20250209"",""dtend"":null,""duration"":null,""dtstamp"":null,""dtstart_tz"":""20250209T000000"",""dtend_tz"":""20250209T000000"",""uid"":""c185f6bb8cb8465091a177185d87fcd0"",""created"":null,""last_modified"":null,""description"":null,""location"":""https:\/\/onelittleproject.com\/bacon-wrapped-pineapple-bites\/"",""sequence"":null,""status"":null,""transp"":""TRANSPARENT"",""organizer"":null,""attendee"":null,""additionalProperties"":{""summary_array"":[[],""Bacon Wrapped Pineapple Bites""],""dtstart_array"":[{""VALUE"":""DATE""},""20250209"",1739084400,""20250209""],""uid_array"":[[],""c185f6bb8cb8465091a177185d87fcd0""],""location_array"":[[],""https:\/\/onelittleproject.com\/bacon-wrapped-pineapple-bites\/""],""transp_array"":[[],""TRANSPARENT""],""url_array"":[[],""https:\/\/onelittleproject.com\/bacon-wrapped-pineapple-bites\/""],""url"":""https:\/\/onelittleproject.com\/bacon-wrapped-pineapple-bites\/""}}","""https:\/\/onelittleproject.com\/bacon-wrapped-pineapple-bites\/"""
Swedish Meatballs,"{""summary"":""Swedish Meatballs"",""dtstart"":""20241120"",""dtend"":null,""duration"":null,""dtstamp"":null,""dtstart_tz"":""20241120T000000"",""dtend_tz"":""20241120T000000"",""uid"":""1812950b49124daa9cbe30e091fbecb0"",""created"":null,""last_modified"":null,""description"":null,""location"":null,""sequence"":null,""status"":null,""transp"":""TRANSPARENT"",""organizer"":null,""attendee"":null,""additionalProperties"":{""summary_array"":[[],""Swedish Meatballs""],""dtstart_array"":[{""VALUE"":""DATE""},""20241120"",1732086000,""20241120""],""uid_array"":[[],""1812950b49124daa9cbe30e091fbecb0""],""transp_array"":[[],""TRANSPARENT""]}}",null
Bucatini And Pasta,"{""summary"":""Bucatini And Pasta"",""dtstart"":""20241112"",""dtend"":null,""duration"":null,""dtstamp"":null,""dtstart_tz"":""20241112T000000"",""dtend_tz"":""20241112T000000"",""uid"":""5e9c7ae72be040fbb2397c8359ad1bdb"",""created"":null,""last_modified"":null,""description"":null,""location"":null,""sequence"":null,""status"":null,""transp"":""TRANSPARENT"",""organizer"":null,""attendee"":null}",null
Waffles,"{""summary"":""Waffles"",""dtstart"":""20250131"",""dtend"":null,""duration"":null,""dtstamp"":null,""dtstart_tz"":""20250131T000000"",""dtend_tz"":""20250131T000000"",""uid"":""d3a02e92339c43daa8eca8384232e6b9"",""created"":null,""last_modified"":null,""description"":null,""location"":null,""sequence"":null,""status"":null,""transp"":""TRANSPARENT"",""organizer"":null,""attendee"":null,""additionalProperties"":{""summary_array"":[[],""Waffles""],""dtstart_array"":[{""VALUE"":""DATE""},""20250131"",1738306800,""20250131""],""uid_array"":[[],""d3a02e92339c43daa8eca8384232e6b9""],""transp_array"":[[],""TRANSPARENT""]}}",null
Waffles,"{""summary"":""Waffles"",""dtstart"":""20250315"",""dtend"":null,""duration"":null,""dtstamp"":null,""dtstart_tz"":""20250315T000000"",""dtend_tz"":""20250315T000000"",""uid"":""5530212cdbb04c50b597a6ab7e6c2cc3"",""created"":null,""last_modified"":null,""description"":null,""location"":null,""sequence"":null,""status"":null,""transp"":""TRANSPARENT"",""organizer"":null,""attendee"":null,""additionalProperties"":{""summary_array"":[[],""Waffles""],""dtstart_array"":[{""VALUE"":""DATE""},""20250315"",1742018400,""20250315""],""uid_array"":[[],""5530212cdbb04c50b597a6ab7e6c2cc3""],""transp_array"":[[],""TRANSPARENT""]}}",null
Bucatini And Pasta,"{""summary"":""Bucatini And Pasta"",""dtstart"":""20241231"",""dtend"":null,""duration"":null,""dtstamp"":null,""dtstart_tz"":""20241231T000000"",""dtend_tz"":""20241231T000000"",""uid"":""73bff9048fb940399c960d8a2867376f"",""created"":null,""last_modified"":null,""description"":null,""location"":null,""sequence"":null,""status"":null,""transp"":""TRANSPARENT"",""organizer"":null,""attendee"":null,""additionalProperties"":{""summary_array"":[[],""Bucatini And Pasta""],""dtstart_array"":[{""VALUE"":""DATE""},""20241231"",1735628400,""20241231""],""uid_array"":[[],""73bff9048fb940399c960d8a2867376f""],""transp_array"":[[],""TRANSPARENT""]}}",null
Charred Cabbage With Miso Browned Butter,"{""summary"":""Charred Cabbage With Miso Browned Butter"",""dtstart"":""20241107"",""dtend"":null,""duration"":null,""dtstamp"":null,""dtstart_tz"":""20241107T000000"",""dtend_tz"":""20241107T000000"",""uid"":""8471771445e44087a20c2f3d79fc9db1"",""created"":null,""last_modified"":null,""description"":null,""location"":""https:\/\/cooking.nytimes.com\/recipes\/1025884-charred-cabbage-with-miso-browned-butter?smid=ck-recipe-iOS-share"",""sequence"":null,""status"":null,""transp"":""TRANSPARENT"",""organizer"":null,""attendee"":null,""additionalProperties"":{""summary_array"":[[],""Charred Cabbage With Miso Browned Butter""],""dtstart_array"":[{""VALUE"":""DATE""},""20241107"",1730962800,""20241107""],""uid_array"":[[],""8471771445e44087a20c2f3d79fc9db1""],""location_array"":[[],""https:\/\/cooking.nytimes.com\/recipes\/1025884-charred-cabbage-with-miso-browned-butter?smid=ck-recipe-iOS-share""],""transp_array"":[[],""TRANSPARENT""],""url_array"":[[],""https:\/\/cooking.nytimes.com\/recipes\/1025884-charred-cabbage-with-miso-browned-butter?smid=ck-recipe-iOS-share""],""url"":""https:\/\/cooking.nytimes.com\/recipes\/1025884-charred-cabbage-with-miso-browned-butter?smid=ck-recipe-iOS-share""}}","""https:\/\/cooking.nytimes.com\/recipes\/1025884-charred-cabbage-with-miso-browned-butter?smid=ck-recipe-iOS-share"""
